,Disease,Preprocessed_Symptoms
531,Ulcerative colitis,abdominal pain diarrhea mixed blood weight loss fever anemia dehydration loss appetite fatigue sore skin urgency defecate inability defecate despite urgency rectal pain
532,Adult-onset Still's disease,disease typically present joint pain high fever salmonpink macular maculopapular rash enlargement liver spleen swollen lymph node neutrophilpredominant increased white blood cell count blood test rheumatoid factor antinuclear antibody usually negative serum ferritin markedly elevated patient experiencing flareup adultonset still disease usually report extreme fatigue swelling lymph node le commonly fluid accumulation lung heart rare case aosd cause lifethreatening complication including hemophagocytic lymphohistiocytosis ivdc fulminant hepatitis disabling condition aseptic meningitis sensorineural hearing loss
535,Strabismus,nonaligned eye
536,Streptococcal pharyngitis,fever sore throat enlarged lymph node
537,Streptococcal pharyngitis,fever sore throat enlarged lymph node
538,Strongyloidiasis,abdominal pain diarrhea weight loss itching rash
539,Subarachnoid hemorrhage,severe headache rapid onset vomiting decreased level consciousness
541,Sunburn,typically initial redness followed varying degree pain proportional severity duration intensity sun exposure
542,Supraventricular tachycardia,palpitation feeling faint sweating shortness breath chest pain
543,Madelung's deformity,congenital subluxation dislocation ulna distal end due malformation bone sometimes minor abnormality bone structure often caused disease injury fracture distal end radius upward displacement distal fragment deformity varies degree slight protrusion lower end ulna complete dislocation inferior radioulnar joint marked ulnar deviation hand severe deformity associated congenital absence hypoplasia radius
544,Swine influenza,pig swine influenza infection produce fever lethargy discharge nose eye sneezing coughing difficulty breathing eye redness inflammation decreased appetite case infection cause miscarriage however infected pig may exhibit symptom although mortality usually low around 1–4 virus cause weight loss poor growth turn causing economic loss farmer infected pig lose 12 pound body weight three fourweek period influenza responsible infecting swine first identified 1918 avian mammalian influenza virus bind receptor pig pig often seen mixing vessel facilitating evolution strain passed mammal human
545,Syringomyelia,syringomyelia cause wide variety neuropathic symptom due damage spinal cord patient may experience severe chronic pain abnormal sensation loss sensation particularly hand patient experience paralysis paresis temporarily permanently syrinx may also cause disruption parasympathetic sympathetic nervous system leading abnormal body temperature sweating bowel control issue problem syrinx higher spinal cord affecting brainstem syringobulbia vocal cord paralysis ipsilateral tongue wasting trigeminal nerve sensory loss sign may present rarely bladder stone occur onset weakness lower extremity classically syringomyelia spare dorsal column medial lemniscus spinal cord leaving pressure vibration touch proprioception intact upper extremity neuropathic arthropathy also known charcot joint occur particularly shoulder patient syringomyelia loss sensory fiber joint theorized lead degeneration joint time
546,Lupus,painful swollen joint fever chest pain hair loss mouth ulcer swollen lymph node feeling tired red rash
547,Mastocytosis,mast cell undergo degranulation substance released cause number symptom vary time range intensity mild severe mast cell play role allergic reaction symptom mastocytosis often similar symptom allergic reaction may include limited
548,Systemic scleroderma,c alcinosis r aynauds phenomenon e sophageal dysfunction clerodactyly elangiectasia crest syndrome associated limited scleroderma symptom include
549,Anaplastic thyroid cancer,anaplastic thyroid cancer typically manifest rapidly enlarging neck mass associated redness swelling overlying skin sometimes occur atc commonly cause symptom compressing local structure esophagus carotid artery recurrent laryngeal nerve trachea compression local anatomic structure may cause symptom difficulty controlling voice hoarseness difficulty swallowing trouble breathing symptom include cough neck pain symptom spread cancer distant site body brain atc may rarely present coughing blood
551,Tendinopathy,pain swelling
552,Thrombocythemia,high platelet count necessarily signal clinical problem picked routine full blood count however important full medical history elicited ensure increased platelet count due secondary process often occurs tandem inflammatory disease principal stimulant platelet production eg thrombopoietin elevated clinical state part acute phase reaction high platelet count occur patient polycythemia vera high red blood cell count additional risk factor complication
553,Type 1 diabetes,frequent urination increased thirst increased hunger weight loss blurred vision fatigue weakness bedwetting child previously didnt wet bed night
554,Hyperthyroidism,irritability muscle weakness sleeping problem fast heartbeat heat intolerance diarrhea enlargement thyroid weight loss
555,Tinea corporis,may variety appearance easily identifiable enlarging raised red ring central area clearing ringworm appearance ringworm may also occur scalp tinea capitis beard area tinea barbae groin tinea cruris known jock itch dhobi itch
556,Tinea cruris,itch rash groin
557,Athlete's foot,itching scaling redness foot
559,Tinnitus,hearing sound external sound present
560,Tonsillitis,sore throat fever enlargement tonsil trouble swallowing large lymph node around neck
561,Topical steroid withdrawal,red skin burning sensation desquamation itchiness
562,Tourette syndrome,tic
563,Transient ischemic attack,sign symptom tia widely variable mimic neurologic condition making clinical context physical exam crucial ruling diagnosis common presenting symptom tia focal neurologic deficit include limited
564,Travelers' diarrhea,unformed stool traveling fever abdominal cramp headache
565,Trichomoniasis,itching genital area bad smelling thin vaginal discharge burning urination pain sex
566,Trichotillomania,visible hair loss distress
567,Trigeminal neuralgia,typical episode severe sudden shocklike pain one side face last second minute atypical constant burning pain
568,Tuberculosis,chronic cough fever cough bloody mucus weight loss
569,Pierre Robin sequence,micrognathia glossoptosis obstruction upper airway sometimes cleft palate
570,Ulcerative colitis,abdominal pain diarrhea mixed blood weight loss fever anemia dehydration loss appetite fatigue sore skin urgency defecate inability defecate despite urgency rectal pain
571,Ulcerative colitis,abdominal pain diarrhea mixed blood weight loss fever anemia dehydration loss appetite fatigue sore skin urgency defecate inability defecate despite urgency rectal pain
572,Ulcerative colitis,abdominal pain diarrhea mixed blood weight loss fever anemia dehydration loss appetite fatigue sore skin urgency defecate inability defecate despite urgency rectal pain
573,Proctitis,common symptom continual urge bowel movement—the rectum could feel full constipation another tenderness mild irritation rectum anal region serious symptom pu blood discharge accompanied cramp pain bowel movement severe bleeding anemia result showing symptom pale skin irritability weakness dizziness brittle nail shortness breath
574,Hypothyroidism,poor ability tolerate cold feeling tired constipation weight gain depression anxiety irritability
575,Undifferentiated connective tissue disease,dry eye dry mouth haïr lost joint inflammation joint pain mouth ulcer positive ana test raynauds phenomenon sunsensitive rash
576,Hereditary spastic paraplegia,symptom depend type hsp inherited main feature disease progressive spasticity lower limb due pyramidal tract dysfunction also result brisk reflex extensor plantar reflex muscle weakness variable bladder disturbance furthermore among core symptom hsp also included abnormal gait difficulty walking decreased vibratory sense ankle paresthesia individual hsp experience extreme fatigue associated central nervous system neuromuscular disorder disabling initial symptom typically difficulty balance stubbing toe stumbling symptom hsp may begin age infancy older 60 year symptom begin teenage year later spastic gait disturbance usually progress many year cane walker wheelchair may eventually required although people never require assistance device disability described progressing rapidly adult onset form
577,Upper respiratory tract infection,uncomplicated cold coughing nasal discharge may persist 14 day even symptom resolved acute urtis include rhinitis pharyngitistonsillitis laryngitis often referred common cold complication sinusitis ear infection sometimes bronchitis though bronchus generally classified part lower respiratory tract symptom urtis commonly include cough sore throat runny nose nasal congestion headache lowgrade fever facial pressure sneezing
578,Overactive bladder,frequent feeling needing urinate incontinence
579,Urinary retention,sudden onset inability urinate low abdominal pain long term frequent urination loss bladder control urinary tract infection
580,Urinary tract infection,pain urination frequent urination feeling need urinate despite empty bladder
581,Kidney stone disease,severe pain lower back abdomen blood urine vomiting nausea
582,Hives,red raised itchy bump
583,Abnormal uterine bleeding,irregular abnormally frequent prolonged excessive amount uterine bleeding
584,Uterine fibroid,painful heavy period
585,Uveitis,headache red eye blurred vision photophobia burning redness eye
586,Vaginal yeast infection,vaginal itching burning urination white thick vaginal discharge pain sex redness around vagina
588,Arrhythmia,palpitation dizziness lightheadedness passing shortness breath chest pain decreased level consciousness
589,Ventricular fibrillation,cardiac arrest loss consciousness pulse
590,Ventricular tachycardia,lightheadedness palpitation chest pain
592,Vitamin B12 deficiency,decreased ability think feeling tired depression irritability abnormal sensation change reflex
593,Vitamin D deficiency,usually asymptomatic
594,Vitamin D deficiency,usually asymptomatic
596,Vulvodynia,pain notable symptom vulvodynia characterized burning stinging irritation sharp pain occurs vulva entrance vagina may constant intermittent happen vulva touched vulvodynia usually long duration
597,Wart,skin growth usually occurring hand foot genitals
598,Granulomatosis with polyangiitis,initial sign highly variable diagnosis severely delayed due nonspecific nature symptom general irritation inflammation nose first sign people involvement upper respiratory tract nose sinus seen nearly people gpa typical sign symptom nose sinus involvement include crusting around nose stuffiness nosebleed runny nose saddlenose deformity due hole septum nose inflammation outer layer eye scleritis episcleritis conjunctivitis common sign gpa eye involvement eye common occurs slightly half people disease
600,Wolff–Parkinson–White syndrome,abnormally fast heartbeat palpitation shortness breath lightheadedness loss consciousness
601,Xerostomia,hyposalivation may give following sign symptom
602,Viral hemorrhagic fever,sign symptom vhf include definition fever bleeding
603,Zollinger–Ellison syndrome,patient zollinger–ellison syndrome may experience abdominal pain diarrhea diagnosis also suspected patient severe ulceration stomach small bowel especially fail respond treatment
605,Haemophilia B,easy bruising
618,Von Willebrand disease,various type vwd present varying degree bleeding tendency usually form easy bruising nosebleed bleeding gum woman may experience heavy menstrual period blood loss childbirth
