,Disease,Prescribed_for,DrugName_list
250,Hypertension,High Blood Pressure,"['Lisinopril', 'Carvedilol', 'Cozaar', 'Azor', 'Lotrel', 'Metoprolol', 'Amlodipine', 'Ramipril', 'Atenolol', 'Benicar', 'Amlodipine / olmesartan', 'Losartan', 'Adalat CC', 'Tenex', 'Nebivolol', 'Bystolic', 'Clonidine', 'Edarbyclor', 'Exforge', 'Zestril', 'Diovan HCT', 'Olmesartan', 'Coreg', 'Hydrochlorothiazide', 'Minoxidil', 'Nadolol', 'Diltiazem', 'Bisoprolol / hydrochlorothiazide', 'Telmisartan', 'Hydrochlorothiazide / triamterene', 'Exforge HCT', 'Diovan', 'Valsartan', 'Micardis HCT', 'Benazepril / hydrochlorothiazide', 'Amlodipine / benazepril', 'Univasc', 'Benicar HCT', 'Hydrochlorothiazide / lisinopril', 'Norvasc', 'Amlodipine / atorvastatin', 'Hydrochlorothiazide / valsartan', 'Azilsartan medoxomil / chlorthalidone', 'Atenolol / chlorthalidone', 'Tarka', 'Nifedipine', 'Hydrochlorothiazide / olmesartan', 'Amlodipine / hydrochlorothiazide / olmesartan', 'Hytrin', 'Microzide', 'Micardis', 'Eplerenone', 'Minipress', 'Avapro', 'Tenormin', 'Cartia XT', 'Propranolol', 'Quinapril', 'Guanfacine', 'Candesartan', 'Azilsartan medoxomil', 'Altace', 'Tekturna HCT', 'Irbesartan', 'Ziac', 'Prazosin', 'Spironolactone', 'Amlodipine / telmisartan', 'Perindopril', 'Verapamil', 'Hydrochlorothiazide / telmisartan', 'Tekturna', 'Fosinopril', 'Hydrochlorothiazide / losartan', 'Toprol-XL', 'Aliskiren', 'Cardizem', 'Terazosin', 'Dyazide', 'Cardura', 'Zestoretic', 'Avalide', 'Tribenzor', 'Bisoprolol', 'Enalapril', 'Furosemide', 'Aliskiren / hydrochlorothiazide', 'Hydrochlorothiazide / irbesartan', 'Edarbi', 'Atacand']"
251,Hypercholesterolemia,High Cholesterol,"['Pravastatin', 'Rosuvastatin', 'Simcor', 'Crestor', 'Lipitor', 'Atorvastatin', 'Praluent', 'Niacin', 'Simvastatin', 'Lovastatin', 'Ezetimibe / simvastatin', 'Niaspan', 'Red yeast rice', 'Livalo', 'Evolocumab', 'Pitavastatin', 'Welchol', 'Trilipix', 'Gemfibrozil', 'Fenofibric acid', 'Vytorin', 'Ezetimibe', 'Zetia', 'Lovastatin / niacin', 'Advicor', 'Repatha', 'Zocor', 'Alirocumab', 'Niacin / simvastatin', 'Slo-Niacin', 'Mevacor']"
252,Familial hypercholesterolemia,"High Cholesterol, Familial Heterozygous","['Evolocumab', 'Crestor', 'Repatha', 'Praluent', 'Rosuvastatin', 'Zetia', 'Alirocumab', 'Vytorin']"
253,Familial hypercholesterolemia,"High Cholesterol, Familial Homozygous","['Evolocumab', 'Repatha']"
254,Hypertrichosis,Hirsutism,"['Eflornithine', 'Vaniqa', 'Spironolactone']"
255,Histoplasmosis,Histoplasmosis,['Itraconazole']
256,Hot flash,Hot Flashes,"['Esterified estrogens / methyltestosterone', 'Venlafaxine', 'Gabapentin', 'Paroxetine', 'Cymbalta', 'Neurontin', 'Brisdelle', 'Fluoxetine', 'Remeron', 'Duavee', 'Megestrol', 'Duloxetine', 'Bazedoxifene / conjugated estrogens', 'Evening Primrose Oil', 'Estratest H.S.', 'Desvenlafaxine']"
257,Human papillomavirus infection,Human Papilloma Virus,"['Imiquimod', 'Aldara']"
258,Human papillomavirus infection,Human Papillomavirus Prophylaxis,"['Human papillomavirus vaccine', 'Gardasil']"
259,Hypercalcaemia,Hypercalcemia of Malignancy,['Denosumab']
260,Hyperekplexia,Hyperekplexia,"['Klonopin', 'Depakote']"
261,Gustatory hyperhidrosis,Hyperhidrosis,"['Oxybutynin', 'Aluminum chloride hexahydrate', 'Drysol', 'Xerac AC', 'Hypercare', 'Clonidine', 'Botox']"
262,Hyperkalemia,Hyperkalemia,['Kionex']
263,Familial dysbetalipoproteinemia,Hyperlipoproteinemia,"['Prevalite', 'Simvastatin']"
264,Hypercholesterolemia,"Hyperlipoproteinemia Type IIa, Elevated LDL","['Fenofibrate', 'Colesevelam', 'Welchol', 'TriCor']"
265,Chronic kidney disease,Hyperphosphatemia of Renal Failure,"['Fosrenol', 'Sevelamer']"
266,Hyperprolactinaemia,Hyperprolactinemia,"['Cabergoline', 'Bromocriptine', 'Parlodel']"
267,Idiopathic hypersomnia,Hypersomnia,"['Caffeine', 'Nuvigil', 'NoDoz', 'Armodafinil', 'Dextroamphetamine', 'Modafinil', 'Provigil', 'Vivarin']"
268,Hypertensive emergency,Hypertensive Emergency,['Clonidine']
269,Hypertriglyceridemia,Hypertriglyceridemia,"['Vascepa', 'Icosapent', 'TriCor', 'Fenofibrate', 'Omega-3 polyunsaturated fatty acids', 'Trilipix', 'Lovaza']"
270,,Hypoactive Sexual Desire Disorde,['Addyi']
271,Hypocalcemia,Hypocalcemia,"['Calcitriol', 'Rocaltrol']"
272,,Hypodermoclysis,['Hylenex']
273,Hypoestrogenism,Hypoestrogenism,"['Estradiol', 'Premarin', 'Conjugated estrogens', 'Estrace Vaginal Cream', 'Climara']"
274,Hypogonadism,"Hypogonadism, Male","['AndroGel', 'Testosterone', 'Testim', 'Delatestryl', 'Aveed', 'Depo-Testosterone', 'Axiron', 'Fortesta', 'Androderm', 'Chorionic gonadotropin (hcg)', 'Testopel', 'Natesto']"
275,Hypokalemic periodic paralysis,Hypokalemic Periodic Paralysis,['Acetazolamide']
276,Magnesium deficiency,Hypomagnesemia,"['Magnesium oxide', 'Magnesium amino acids chelate']"
277,Hypoparathyroidism,Hypoparathyroidism,"['Parathyroid hormone', 'Forteo']"
278,Hypotension,Hypotension,"['Levophed', 'Midodrine', 'Norepinephrine']"
279,Hypothyroidism,"Hypothyroidism, After Thyroid Removal","['Synthroid', 'Cytomel', 'Tirosint', 'Levothyroxine', 'Liothyronine', 'Armour Thyroid', 'Levoxyl', 'Westhroid', 'Nature-Throid', 'Thyroid desiccated']"
280,Delirium,ICU Agitation,"['Haloperidol', 'Versed']"
281,Immune thrombocytopenic purpura,Idiopathic Thrombocytopenic Purpura,"['Dexamethasone', 'Promacta', 'Romiplostim', 'Nplate', 'Rho (d) immune globulin', 'Cyclosporine', 'Eltrombopag']"
282,Kaposi's sarcoma,Immunosuppression,['Methylprednisolone']
283,,Impetig,"['Altabax', 'Retapamulin']"
284,Indigestion,Indigestion,"['Bismuth subsalicylate', 'Omeprazole', 'Cimetidine', ""Phillips' Milk of Magnesia"", 'Magnesium hydroxide', 'Magaldrate / simethicone', 'Tums Regular Strength', 'Ranitidine', 'Calcium carbonate', 'Pepto-Bismol', 'Prilosec']"
285,Gonorrhea,Infection Prophylaxis,"['Sulfamethoxazole / trimethoprim', 'Bactrim DS']"
286,Inflammatory bowel disease,Inflammatory Bowel Disease,"['Prednisone', 'Budesonide', 'Entocort EC', 'Apriso', 'Pentasa']"
287,Inflammation,Inflammatory Conditions,"['Methylprednisolone', 'Meloxicam', 'Prednisone', 'Mobic', 'Solu-Medrol', 'Dexamethasone', 'Betamethasone', 'Doans Pills Extra Strength', 'Medrol Dosepak', 'Prednisolone']"
288,Influenza,Influenza,"['Oseltamivir', 'Tamiflu', 'Zanamivir', 'Relenza', 'Coricidin HBP Cold & Flu']"
289,Influenza,Influenza Prophylaxis,"['Influenza virus vaccine', ' inactivated', 'Oseltamivir']"
290,Insomnia,Insomnia,"['Desyrel', 'Ambien', 'Eszopiclone', 'Belsomra', 'Quetiapine', 'Temazepam', 'Lunesta', 'Rozerem', 'Trazodone', 'Zolpidem', 'Doxepin', 'Flurazepam', 'Mirtazapine', 'Halcion', 'Ramelteon', 'Ativan', 'Melatonin', 'Hetlioz', 'Zaleplon', 'Gabapentin', 'Ambien CR', 'Seroquel', 'Amitriptyline', 'Triazolam', 'Secobarbital', 'Silenor', 'Suvorexant', 'Restoril', 'Somnote', 'Remeron', 'Doxylamine', 'Lorazepam', 'Doral', 'Diphenhydramine', 'Edluar', 'Clonazepam', 'Sominex', 'Seconal Sodium', 'Chloral hydrate', 'Acetaminophen / diphenhydramine', 'Sleep Aid', 'Diphenhydramine / naproxen', 'Estazolam', 'Olanzapine', 'Unisom SleepTabs', 'Zyprexa', 'Excedrin PM', 'Dalmane', 'Simply Sleep', 'Nembutal Sodium', 'Seroquel XR', 'Prosom', 'Butabarbital', 'Elavil', 'Benadryl', 'Tylenol PM', 'Remeron SolTab', 'Klonopin', 'Diphenhydramine / ibuprofen', 'Sonata', 'Seconal', 'Tasimelteon']"
291,Fatal insomnia,"Insomnia, Stimulant-Associated",['Clonidine']
292,Metabolic syndrome,Insulin Resistance Syndrome,"['Metformin', 'Glucophage XR', 'Glucophage']"
293,Intermittent claudication,Intermittent Claudication,"['Trental', 'Pentoxifylline', 'Pletal']"
294,Interstitial cystitis,Interstitial Cystitis,"['Phenazopyridine', 'Pentosan polysulfate sodium', 'Elmiron', 'Pyridium', 'Amitriptyline', 'Uristat', 'Elavil', 'Sanctura']"
295,Intra-abdominal infection,Intraabdominal Infection,['Metronidazole']
296,Glaucoma,Intraocular Hypertension,"['Travoprost', 'Brimonidine', 'Travatan Z', 'Travatan', 'Xalatan', 'Zioptan']"
297,Uveitis,Iritis,"['Loteprednol / tobramycin', 'Prednisolone', 'Lotemax']"
298,Iron-deficiency anemia,Iron Deficiency Anemia,"['Ferrous sulfate', 'Iron sucrose', 'Poly Iron', 'Feraheme', 'Slow Fe', 'Ferrous fumarate / iron polysaccharide', 'Iron polysaccharide', 'Venofer', 'Ferrous gluconate']"
299,Irritable bowel syndrome,Irritable Bowel Syndrome,"['EnteraGam', 'Cholestyramine', 'Eluxadoline', 'Dicyclomine', 'Levsin SL', 'Hyoscyamine', 'Librax', 'Viberzi', 'Linzess', 'Atropine / hyoscyamine / phenobarbital / scopolamine', 'Chlordiazepoxide / clidinium', 'Linaclotide', 'Donnatal', 'Amitiza', 'Tegaserod', 'Venlafaxine', 'Amitriptyline', 'Rifaximin', 'Xifaxan', 'Metamucil', 'Hyosyne', 'Lubiprostone', 'Nortriptyline', 'Bentyl', 'Alosetron', 'Methscopolamine', 'Zelnorm', 'Lotronex', 'Levsin', 'Lexapro', 'Lactobacillus acidophilus', 'Escitalopram', 'Pamine Forte', 'Symax Duotab', 'Konsyl', 'Desipramine', 'Doxepin']"
300,Stroke,Ischemic Stroke,['Nimodipine']
301,Cerebral edema,"Ischemic Stroke, Prophylaxis","['Aspirin / dipyridamole', 'Plavix']"
302,Jet lag,Jet Lag,['Melatonin']
303,Juvenile idiopathic arthritis,Juvenile Idiopathic Arthritis,"['Tocilizumab', 'Etanercept', 'Actemra', 'Enbrel', 'Humira']"
304,Juvenile idiopathic arthritis,Juvenile Rheumatoid Arthritis,"['Celebrex', 'Sulfasalazine', 'Etanercept', 'Enbrel', 'Meloxicam']"
305,Herpes simplex keratitis,Keratitis,['Lotemax']
306,Dry eye syndrome,Keratoconjunctivitis Sicca,"['Cyclosporine', 'Restasis']"
307,Keratosis pilaris,Keratosis,"['Zyclara', 'Fluoroplex', 'Fluorouracil', 'Imiquimod', 'Aldara', 'Carac', 'Efudex', 'Collagenase Santyl']"
308,Pyelonephritis,Kidney Infections,"['Ciprofloxacin', 'Levaquin', 'Cephalexin', 'Cipro', 'Sulfamethoxazole / trimethoprim', 'Levofloxacin', 'Rocephin', 'Keflex']"
309,Pregnancy,Labor Induction,"['Pitocin', 'Cervidil', 'Dinoprostone']"
310,Childbirth,Labor Pain,['Stadol']
311,Childbirth,Lactation Augmentation,['Reglan']
312,Lactose intolerance,Lactose Intolerance,['Lactaid Ultra']
313,Heart failure,Left Ventricular Dysfunction,"['Carvedilol', 'Coreg', 'Diovan', 'Vasotec']"
314,Lennox–Gastaut syndrome,Lennox-Gastaut Syndrome,['Banzel']
315,Lichen planus,Lichen Planus,"['Triamcinolone', 'Clobetasol', 'Prednisone']"
316,Lichen sclerosus,Lichen Sclerosus,"['Temovate', 'Clobetasol']"
317,Anesthesia awareness,Light Anesthesia,"['Valium', 'Ativan', 'Lorazepam', 'Versed', 'Diazepam']"
318,,Light Sedation,"['Thorazine', 'Diazepam', 'Seconal', 'Meperidine', 'Valium', 'Promethazine', 'Midazolam', 'Demerol', 'Versed']"
319,Congenital generalized lipodystrophy,Lipodystrophy,"['Egrifta', 'Tesamorelin']"
320,,Liver Magnetic Resonance Imaging,['Gadoxetate disodium']
321,Hernia,Local Anesthesia,"['Lidocaine', 'Solarcaine Burn Relief', 'Bupivacaine']"
322,Lyme disease,Lyme Disease,"['Doxycycline', 'Doxy 100', 'Cefuroxime']"
323,Lyme disease,"Lyme Disease, Erythema Chronicum Migrans",['Azithromycin']
324,Lyme disease,"Lyme Disease, Neurologic","['Ceftriaxone', 'Penicillin g benzathine', 'Bicillin L-A', 'Doxycycline']"
325,Microscopic colitis,Lymphocytic Colitis,"['Mesalamine', 'Asacol']"
326,Lymphoma,Lymphoma,['Prednisone']
327,Macular degeneration,Macular Degeneration,"['Ranibizumab', 'Lucentis', 'Aflibercept', 'Eylea', 'Pegaptanib']"
328,Diabetic retinopathy,Macular Edema,"['Ranibizumab', 'Lucentis']"
329,,Major Depressive Disorde,"['Wellbutrin', 'Sertraline', 'Fluoxetine', 'Zoloft', 'Remeron', 'Venlafaxine', 'Wellbutrin XL', 'Desvenlafaxine', 'Vortioxetine', 'Seroquel XR', 'Vilazodone', 'Effexor XR', 'Trazodone', 'Prozac', 'Trintellix', 'Bupropion', 'Cymbalta', 'Duloxetine', 'Quetiapine', 'Olanzapine', 'Aripiprazole', 'Effexor', 'Mirtazapine', 'Levomilnacipran', 'Fetzima', 'Escitalopram', 'Abilify', 'Viibryd', 'Lexapro', 'Rexulti', 'Brexpiprazole', 'Wellbutrin SR', 'Oleptro', 'Paroxetine', 'Pristiq', 'Emsam', 'Paxil', 'Selegiline', 'Nefazodone', 'Symbyax', 'Budeprion SR', 'Sinequan', 'Zyprexa']"
330,Malaria,Malaria,"['Doxycycline', 'Halofantrine', 'Coartem', 'Atovaquone', 'Halfan']"
331,Malaria,Malaria Prevention,"['Atovaquone / proguanil', 'Malarone', 'Mefloquine', 'Doxycycline']"
332,Mania,Mania,"['Divalproex sodium', 'Risperidone', 'Chlorpromazine', 'Depakote', 'Lithium', 'Valproic acid', 'Risperdal']"
333,Mantle cell lymphoma,Mantle Cell Lymphoma,"['Ibrutinib', 'Imbruvica']"
334,Melanoma,Melanoma,['Nivolumab']
335,Melanoma,"Melanoma, Metastatic",['Keytruda']
336,Melasma,Melasma,"['Tri-Luma', 'Fluocinolone / hydroquinone / tretinoin']"
337,Ménière's disease,Meniere's Disease,"['Diazepam', 'Valium']"
338,Menopause,Menopausal Disorders,"['Esterified estrogens / methyltestosterone', 'Estratest H.S.']"
339,Heavy menstrual bleeding,Menorrhagia,"['Tranexamic acid', 'Natazia', 'Lysteda', 'Dienogest / estradiol']"
340,Heavy menstrual bleeding,Menstrual Disorders,"['Yaz', 'Lysteda', 'Tranexamic acid', 'Drospirenone / ethinyl estradiol', 'femhrt', 'Ethinyl estradiol / norethindrone', 'Gianvi', 'Loestrin 24 Fe', 'Microgestin Fe 1 / 20', 'Loestrin 21 1 / 20', 'Gildess Fe 1 / 20', 'Yasmin', 'Ocella', 'Microgestin Fe 1.5 / 30', 'Loryna']"
341,Methicillin-resistant Staphylococcus aureus,Methicillin-Resistant Staphylococcus Aureus Infection,"['Linezolid', 'Zyvox', 'Vancomycin']"
342,Migraine,Migraine,"['Rizatriptan', 'Eletriptan', 'Relpax', 'Amerge', 'Sumatriptan', 'Cambia', 'Reglan', 'Gabapentin', 'Metoclopramide', 'Diclofenac', 'Acetaminophen / aspirin / caffeine', 'Naproxen / sumatriptan', 'Methylergonovine', 'Fiorinal', 'Maxalt-MLT', 'Zomig-ZMT', 'Frova', 'Almotriptan', 'Imitrex', 'Dihydroergotamine', 'Cyproheptadine', 'Aspirin / butalbital / caffeine', 'Zomig', 'Treximet', 'Cafergot', 'Frovatriptan', 'Maxalt', 'Migranal', 'Cyclobenzaprine', ""Goody's Extra-Strength Headache Powders"", 'Zolmitriptan', 'Naratriptan', 'Imitrex Nasal', 'Botox', 'Imitrex Statdose', 'Flexeril', 'D.H.E. 45', 'Sumavel DosePro', 'Methergine', 'Orphenadrine', 'Neurontin', 'Excedrin', 'Axert', 'Amrix', 'Caffeine / ergotamine', 'Migergot', 'Acetaminophen / aspirin / caffeine / salicylamide', 'OnabotulinumtoxinA', 'Zecuity']"
343,Migraine,Migraine Prevention,"['Amitriptyline', 'Inderal', 'Riboflavin', 'Topiramate', 'Topamax', 'Pamelor', 'Depakote ER', 'Propranolol', 'Zonisamide', 'Nortriptyline', 'Baclofen', 'Botox', 'Divalproex sodium', 'Lamotrigine', 'OnabotulinumtoxinA', 'Lisinopril', 'Metoprolol', 'Amlodipine', 'Nadolol', 'Clonazepam', 'Bupropion', 'Verapamil', 'Depakote', 'Atenolol', 'Elavil', 'Catapres', 'Norvasc', 'Candesartan', 'Lyrica', 'Inderal LA', 'Pregabalin', 'Vitamin B2', 'Olmesartan', 'Tenormin', 'Zonegran']"
344,Mild cognitive impairment,Mild Cognitive Impairment,['Donepezil']
345,Mitral valve prolapse,Mitral Valve Prolapse,"['Toprol-XL', 'Atenolol', 'Inderal LA', 'Propranolol', 'Nebivolol', 'Bystolic', 'Metoprolol']"
346,Mixed connective tissue disease,Mixed Connective Tissue Disease,['Prednisone']
347,Infectious mononucleosis,Mononucleosis,['Acyclovir']
348,Motion sickness,Motion Sickness,"['Marezine', 'Scopolamine', 'Dimenhydrinate', 'Bonine', 'Transderm-Scop', 'Meclizine', 'Dramamine', 'Phenergan', 'Cyclizine']"
349,Decompression sickness,Mountain Sickness / Altitude Sickness,"['Diamox', 'Acetazolamide']"
350,Mucositis,Mucositis,"['Chlorhexidine', 'NeutraSal', 'Periogard', 'Saliva substitutes']"
351,Multiple myeloma,Multiple Myeloma,['Lenalidomide']
352,Multiple sclerosis,Multiple Sclerosis,"['Dalfampridine', 'Avonex Pen', 'Copaxone', 'Glatiramer', 'Tecfidera', 'Teriflunomide', 'Natalizumab', 'Avonex', 'Interferon beta-1a', 'Tysabri', 'Fingolimod', 'Gilenya', 'Interferon beta-1b', 'Dimethyl fumarate', 'Cyclophosphamide', 'Ampyra', 'Betaseron', 'Lemtrada', 'Rebif', 'Aubagio', 'Rebif Rebidose', 'Provigil', 'Modafinil', 'Mycophenolate mofetil', 'Novantrone', 'Plegridy']"
353,Delayed onset muscle soreness,Muscle Pain,"['Aspirin / carisoprodol', 'Medrox', 'Ibuprofen', 'Methyl salicylate', 'Diclofenac', 'Aleve', 'Lidocaine / menthol', 'Naproxen', 'Acetaminophen', 'Acetaminophen / caffeine / magnesium salicylate', 'Voltaren', 'Naprelan', 'Salonpas Pain Patch', 'Capsaicin / menthol / methyl salicylate', 'Aspirin / caffeine / orphenadrine', 'KneeRelief', 'Advil', 'Norgesic']"
354,Tetanus,Muscle Spasm,"['Cyclobenzaprine', 'Orphenadrine', 'Tizanidine', 'Soma', 'Valium', 'Metaxalone', 'Diazepam', 'Carisoprodol', 'Baclofen', 'Chlorzoxazone', 'Methocarbamol', 'Flexeril', 'Skelaxin', 'Lorzone', 'Zanaflex', 'Robaxin', 'Soma Compound', 'Robaxin-750', 'Aspirin / carisoprodol', 'Norflex', 'Diazepam Intensol', 'Lioresal', 'Amrix', 'Parafon Forte DSC', 'Aspirin / caffeine / orphenadrine', 'Soma Compound with Codeine', 'Aspirin / carisoprodol / codeine']"
355,Myasthenia gravis,Myasthenia Gravis,"['Pyridostigmine', 'Imuran', 'Mestinon', 'Mycophenolate mofetil', 'Prostigmin Bromide', 'CellCept']"
356,Mycobacterium avium-intracellulare infection,"Mycobacterium avium-intracellulare, Treatment",['Zithromax']
357,Mycoplasma pneumonia,Mycoplasma Pneumonia,"['Azithromycin', 'Clarithromycin']"
358,Myelodysplastic syndrome,Myelodysplastic Syndrome,"['Azacitidine', 'Vidaza']"
359,Primary myelofibrosis,Myelofibrosis,['Jakafi']
360,Primary myelofibrosis,Myeloproliferative Disorders,['Gleevec']
361,Myotonia congenita,Myotonia Congenita,['Mexiletine']
362,,NSAID-Induced Gastric Ulce,"['Esomeprazole', 'Lansoprazole', 'Nexium']"
363,Narcolepsy,Narcolepsy,"['Nuvigil', 'Sodium oxybate', 'Methylphenidate', 'Ritalin', 'Adderall XR', 'Provigil', 'Dextrostat', 'Modafinil', 'Armodafinil', 'Xyrem', 'Amphetamine / dextroamphetamine', 'Ephedrine', 'Dexedrine', 'Adderall', 'Methylin', 'Lisdexamfetamine', 'Desvenlafaxine', 'Dextroamphetamine', 'Vyvanse']"
364,Methicillin-resistant Staphylococcus aureus,Nasal Carriage of Staphylococcus aureus,['Bactroban']
365,Rhinitis medicamentosa,Nasal Congestion,"['Pseudoephedrine', 'Xylometazoline', 'Claritin-D', 'Oxymetazoline', 'Eyebright', 'Sudafed PE Congestion', 'Afrin', 'Chlorcyclizine / phenylephrine', 'Dexbrompheniramine / pseudoephedrine', 'Phenylephrine', 'Nexafed Nasal Decongestant', 'Privine', 'Naphazoline', 'Vicks Sinex Nasal Spray (old formulation)', 'Drixoral Cold and Allergy', 'Dallergy', 'Drixoral Decongestant Non-Drowsy', 'Loratadine / pseudoephedrine', 'Norel SR', 'Neo-Synephrine Nasal', 'Afrin 4 Hour Extra Moisturizing', 'Nostrilla', ""Children's Dimetapp Decongestant Infant"", 'Vicks Sinex 12-Hour Decongestant Nasal Spray']"
366,Nasal polyp,Nasal Polyps,"['Fluticasone', 'Veramyst', 'Mometasone']"
367,Vomiting,Nausea/Vomiting,"['Promethazine', 'Zofran', 'Ondansetron', 'Phenergan', 'Metoclopramide', 'Phosphorated carbohydrate solution', 'Emetrol', 'Transderm-Scop', 'Prochlorperazine', 'Reglan', 'Compazine', 'Scopolamine', 'Zofran ODT', 'Vistaril', 'Dimenhydrinate', 'Diphenhydramine', 'Lorazepam', 'Haldol', 'Ativan', 'Dramamine', 'Trimethobenzamide', 'Benadryl', 'Ginger', 'Atarax', 'Cyclizine']"
368,Morning sickness,Nausea/Vomiting of Pregnancy,"['Diclegis', 'Doxylamine / pyridoxine']"
369,Vomiting,"Nausea/Vomiting, Chemotherapy Induced","['Aprepitant', 'Lorazepam', 'Ondansetron', 'Sancuso', 'Dronabinol', 'Emend', 'Marinol', 'Dexamethasone']"
370,Vomiting,"Nausea/Vomiting, Postoperative",['Ondansetron']
371,Neck-tongue syndrome,Neck Pain,['Naproxen']
372,Nephrotic syndrome,Nephrotic Syndrome,['Prednisone']
373,Trigeminal neuralgia,Neuralgia,"['Lyrica', 'Pregabalin', 'Nortriptyline', 'Methylprednisolone', 'Baclofen']"
374,Peripheral neuropathy,Neuropathic Pain,"['Pregabalin', 'Lyrica', 'Gabapentin', 'Lidocaine']"
375,Neutropenia,Neutropenia,['Neupogen']
376,Neutropenia,Neutropenia Associated with Chemotherapy,"['Pegfilgrastim', 'Neulasta']"
377,New daily persistent headache,New Daily Persistent Headache,"['Keppra', 'Sumatriptan']"
378,Night terror,Night Terrors,"['Clonazepam', 'Valium']"
379,Nightmare,Nightmares,['Prazosin']
380,Cramp,Nocturnal Leg Cramps,"['Carisoprodol', 'Quinine', 'Verapamil']"
381,Non-Hodgkin lymphoma,Non-Hodgkin's Lymphoma,"['Rituxan', 'Rituximab']"
382,Acute lymphoblastic leukemia,Non-Small Cell Lung Cance,"['Gefitinib', 'Tarceva', 'Nivolumab', 'Erlotinib', 'Paclitaxel', 'Xalkori', 'Crizotinib', 'Iressa', 'Pemetrexed', 'Opdivo', 'Ceritinib']"
383,Arthropathy,Noninfectious Colitis,['Dicyclomine']
384,HIV/AIDS,Nonoccupational Exposure,['Sustiva']
385,Obesity,Obesity,"['Phentermine', 'Phentermine / topiramate', 'Orlistat', 'Contrave', 'Qsymia', 'Bupropion / naltrexone', 'Lorcaserin', 'Liraglutide', 'Belviq', 'Saxenda', 'Adipex-P', 'Phendimetrazine', 'Topamax', 'Meridia', 'Tenuate Dospan', 'Tenuate', 'Alli', 'Xenical', 'Topiramate', 'Phendiet', 'Diethylpropion', 'Lomaira', 'Bontril Slow Release', 'Victoza', 'Wellbutrin SR', 'Pristiq', 'Desoxyn', 'Benzphetamine', 'Chorionic gonadotropin (hcg)', 'Adipost', 'Methamphetamine', 'Bupropion', 'Didrex', 'Wellbutrin XL', 'Zantryl', 'Fastin']"
386,,Obsessive Compulsive Disorde,"['Zoloft', 'Sertraline', 'Quetiapine', 'Fluvoxamine', 'Prozac', 'Abilify', 'Mirtazapine', 'Anafranil', 'Fluoxetine', 'Luvox', 'Clomipramine', 'Aripiprazole', 'Escitalopram', 'Lexapro', 'Venlafaxine', 'Citalopram', 'Effexor XR', 'Olanzapine', 'Paroxetine', 'Effexor', 'Paxil', 'Seroquel', 'Seroquel XR']"
387,Obstructive sleep apnea,Obstructive Sleep Apnea/Hypopnea Syndrome,"['Armodafinil', 'Modafinil', 'Nuvigil', 'Provigil']"
388,Occipital neuralgia,Occipital Neuralgia,"['Gabapentin', 'Pregabalin']"
389,Hypospermia,Oligospermia,"['Clomiphene', 'Clomid']"
390,Onychomycosis,"Onychomycosis, Fingernail","['Ciclopirox', 'Fluconazole', 'Terbinafine', 'Lamisil']"
391,Onychomycosis,"Onychomycosis, Toenail","['Terbinafine', 'Fluconazole', 'Efinaconazole', 'Lamisil', 'Jublia', 'Ciclopirox', 'Tavaborole', 'Itraconazole', 'Ketoconazole', 'Kerydin']"
392,Ovarian remnant syndrome,Oophorectomy,"['Estradiol Patch', 'Premarin']"
393,Astigmatism,Ophthalmic Surgery,"['Gatifloxacin', 'Vigamox']"
394,Opioid use disorder,Opiate Adjunct,"['Promethazine', 'Phenergan']"
395,Opioid use disorder,Opiate Dependence,"['Buprenorphine / naloxone', 'Suboxone', 'Vivitrol', 'Naltrexone', 'Buprenorphine', 'Zubsolv', 'Subutex', 'Bunavail', 'Revia']"
396,Opioid withdrawal,Opiate Withdrawal,"['Methadone', 'Catapres', 'Robaxin-750', 'Clonidine', 'Methocarbamol', 'Methadose', 'Methadone Diskets', 'Chlordiazepoxide']"
397,Opioid overdose,Opioid Overdose,"['Narcan Injection', 'Naloxone']"
398,,Opioid-Induced Constipation,"['Naloxegol', 'Movantik', 'Methylnaltrexone']"
399,,Oppositional Defiant Disorde,['Lisdexamfetamine']
400,Oral candidiasis,Oral Thrush,"['Fluconazole', 'Nystatin']"
401,,"Organ Transplant, Rejection Prophylaxis","['Tacrolimus', 'Prograf', 'CellCept', 'Mycophenolate mofetil']"
402,Type 1 diabetes,"Organ Transplant, Rejection Reversal",['Tacrolimus']
