Prescribed_for,DrugName_list,Disease,Symptoms,Symptoms_Length,Number_of_Drugs,Preprocessed_Symptoms
Influenza Prophylaxis,"Influenza virus vaccine, inactivated,Oseltamivir",Influenza,"Fever , runny nose , sore throat , muscle pain , headache , coughing , fatigue",78,2,fever runny nose sore throat muscle pain headache coughing fatigue
Insomnia,"Desyrel,Ambien,Eszopiclone,Belsomra,Quetiapine,Temazepam,Lunesta,Rozerem,Trazodone,Zolpidem,Doxepin,Flurazepam,Mirtazapine,Halcion,Ramelteon,Ativan,Melatonin,Hetlioz,Zaleplon,Gabapentin,Ambien CR,Seroquel,Amitriptyline,Triazolam,Secobarbital,Silenor,Suvorexant,Restoril,Somnote,Remeron,Doxylamine,Lorazepam,Doral,Diphenhydramine,Edluar,Clonazepam,Sominex,Seconal Sodium,Chloral hydrate,Acetaminophen / diphenhydramine,Sleep Aid,Diphenhydramine / naproxen,Estazolam,Olanzapine,Unisom SleepTabs,Zyprexa,Excedrin PM,Dalmane,Simply Sleep,Nembutal Sodium,Seroquel XR,Prosom,Butabarbital,Elavil,Benadryl,Tylenol PM,Remeron SolTab,Klonopin,Diphenhydramine / ibuprofen,Sonata,Seconal,Tasimelteon",Insomnia,"Trouble sleeping , daytime sleepiness, low energy, irritability, depressed mood",79,62,trouble sleeping daytime sleepiness low energy irritability depressed mood
"Insomnia, Stimulant-Associated",Clonidine,Fatal insomnia,"Progressive insomnia, ataxia, double vision, weight loss, high blood pressure, excessive sweating",97,1,progressive insomnia ataxia double vision weight loss high blood pressure excessive sweating
Insulin Resistance Syndrome,"Metformin,Glucophage XR,Glucophage",Metabolic syndrome,Obesity,7,3,obesity
Intermittent Claudication,"Trental,Pentoxifylline,Pletal",Intermittent claudication,['One of the hallmarks of arterial claudication is that it occurs intermittently. It disappears after a very brief rest and the patient can start walking again until the pain recurs. The following signs are general signs of atherosclerosis of the lower extremity arteries:'],274,3,one hallmark arterial claudication occurs intermittently disappears brief rest patient start walking pain recurs following sign general sign atherosclerosis lower extremity artery
Interstitial Cystitis,"Phenazopyridine,Pentosan polysulfate sodium,Elmiron,Pyridium,Amitriptyline,Uristat,Elavil,Sanctura",Interstitial cystitis,"Chronic pain of the bladder, feeling the need to urinate right away , needing to urinate often , pain with sex",110,8,chronic pain bladder feeling need urinate right away needing urinate often pain sex
Intraabdominal Infection,Metronidazole,Intra-abdominal infection,"['Those with suspected with IAIs usually have acute onset of abdominal pain with signs of local or generalised inflammations such as pain', 'tenderness (pain on touching)', 'fever', 'tachycardia (increased heart rate)', 'or tachypnea (increased breathing rate). In more severe cases', 'such as organ failure', 'signs such as hypotension (low blood pressure)', 'oliguria (reduced urine output)', 'sudden onset of altered level of consciousness ', 'and lactic acidosis will appear.']",481,1,suspected iais usually acute onset abdominal pain sign local generalised inflammation pain tenderness pain touching fever tachycardia increased heart rate tachypnea increased breathing rate severe case organ failure sign hypotension low blood pressure oliguria reduced urine output sudden onset altered level consciousness lactic acidosis appear
Intraocular Hypertension,"Travoprost,Brimonidine,Travatan Z,Travatan,Xalatan,Zioptan",Glaucoma,"intense eye pain, nausea and vomiting ,a red eye, a headache tenderness around the eyes, seeing rings around lights, blurred vision",2402,6,intense eye pain nausea vomiting red eye headache tenderness around eye seeing ring around light blurred vision
Iritis,"Loteprednol / tobramycin,Prednisolone,Lotemax",Uveitis,"Headaches, red eyes, blurred vision, photophobia, burning and redness of the eye",80,3,headache red eye blurred vision photophobia burning redness eye
Iron Deficiency Anemia,"Ferrous sulfate,Iron sucrose,Poly Iron,Feraheme,Slow Fe,Ferrous fumarate / iron polysaccharide,Iron polysaccharide,Venofer,Ferrous gluconate",Iron-deficiency anemia,"Feeling tired , weakness, shortness of breath , confusion, pallor",65,9,feeling tired weakness shortness breath confusion pallor
Irritable Bowel Syndrome,"EnteraGam,Cholestyramine,Eluxadoline,Dicyclomine,Levsin SL,Hyoscyamine,Librax,Viberzi,Linzess,Atropine / hyoscyamine / phenobarbital / scopolamine,Chlordiazepoxide / clidinium,Linaclotide,Donnatal,Amitiza,Tegaserod,Venlafaxine,Amitriptyline,Rifaximin,Xifaxan,Metamucil,Hyosyne,Lubiprostone,Nortriptyline,Bentyl,Alosetron,Methscopolamine,Zelnorm,Lotronex,Levsin,Lexapro,Lactobacillus acidophilus,Escitalopram,Pamine Forte,Symax Duotab,Konsyl,Desipramine,Doxepin",Irritable bowel syndrome,"Diarrhea , constipation , abdominal pain",40,37,diarrhea constipation abdominal pain
Ischemic Stroke,Nimodipine,Stroke,"Inability to move or feel on one side of the body, problems understanding or speaking , dizziness , loss of vision to one side",126,1,inability move feel one side body problem understanding speaking dizziness loss vision one side
"Ischemic Stroke, Prophylaxis","Aspirin / dipyridamole,Plavix",Cerebral edema,"Headache, nausea, vomiting, decreased consciousness, seizures",61,2,headache nausea vomiting decreased consciousness seizure
Jet Lag,Melatonin,Jet lag,"['The symptoms of jet lag can be quite varied', 'depending on the amount of time zone alteration', 'time of day', 'and individual differences. Sleep disturbance occurs', 'with poor sleep upon arrival and/or sleep disruptions such as trouble falling asleep (when flying east)', 'early awakening (when flying west)', 'and trouble remaining asleep. Cognitive effects include poorer performance on mental tasks and concentration ; dizziness', 'nausea ', 'insomnia ', 'confusion', 'anxiety ', 'increased fatigue ', 'headaches ', 'and irritability ; and problems with digestion', 'including indigestion ', 'changes in the frequency of defecation and consistency of faeces ', 'and reduced interest in and enjoyment of food. The symptoms are caused by a circadian rhythm that is out of sync with the day–night cycle of the destination', 'as well as the possibility of internal desynchronisation. Jet lag has been measured with simple analogue scales', 'but a study has shown that these are relatively blunt for assessing all the problems associated with jet lag. The Liverpool Jet Lag Questionnaire was developed to measure all the symptoms of jet lag at several times of day', 'and this dedicated measurement tool has been used to assess jet lag in athletes.']",1253,1,symptom jet lag quite varied depending amount time zone alteration time day individual difference sleep disturbance occurs poor sleep upon arrival andor sleep disruption trouble falling asleep flying east early awakening flying west trouble remaining asleep cognitive effect include poorer performance mental task concentration dizziness nausea insomnia confusion anxiety increased fatigue headache irritability problem digestion including indigestion change frequency defecation consistency faeces reduced interest enjoyment food symptom caused circadian rhythm sync day–night cycle destination well possibility internal desynchronisation jet lag measured simple analogue scale study shown relatively blunt assessing problem associated jet lag liverpool jet lag questionnaire developed measure symptom jet lag several time day dedicated measurement tool used ass jet lag athlete
Juvenile Idiopathic Arthritis,"Tocilizumab,Etanercept,Actemra,Enbrel,Humira",Juvenile idiopathic arthritis,"['Arthritis means inflammation within the joint', 'and is usually recognised by swelling', 'pain', 'stiffness and restricted joint movement. Symptoms of JIA vary from individual to individual. This is mainly because JIA is an umbrella term for several subtypes of JIA', 'which differ according to the number of affected joints', 'severity of disease and presence or absence of inflammation in other parts of the body.']",419,5,arthritis mean inflammation within joint usually recognised swelling pain stiffness restricted joint movement symptom jia vary individual individual mainly jia umbrella term several subtypes jia differ according number affected joint severity disease presence absence inflammation part body
Juvenile Rheumatoid Arthritis,"Celebrex,Sulfasalazine,Etanercept,Enbrel,Meloxicam",Juvenile idiopathic arthritis,"['Arthritis means inflammation within the joint', 'and is usually recognised by swelling', 'pain', 'stiffness and restricted joint movement. Symptoms of JIA vary from individual to individual. This is mainly because JIA is an umbrella term for several subtypes of JIA', 'which differ according to the number of affected joints', 'severity of disease and presence or absence of inflammation in other parts of the body.']",419,5,arthritis mean inflammation within joint usually recognised swelling pain stiffness restricted joint movement symptom jia vary individual individual mainly jia umbrella term several subtypes jia differ according number affected joint severity disease presence absence inflammation part body
Keratitis,Lotemax,Herpes simplex keratitis,['Primary infection most commonly manifests as blepharoconjunctivitis i.e. infection of lids and conjunctiva that heals without scarring. Lid vesicles and conjunctivitis are seen in primary infection. Corneal involvement is rarely seen in primary infection.'],259,1,primary infection commonly manifest blepharoconjunctivitis ie infection lid conjunctiva heals without scarring lid vesicle conjunctivitis seen primary infection corneal involvement rarely seen primary infection
Keratoconjunctivitis Sicca,"Cyclosporine,Restasis",Dry eye syndrome,"Dry eyes, irritation, redness , discharge, blurred vision",57,2,dry eye irritation redness discharge blurred vision
Keratosis,"Zyclara,Fluoroplex,Fluorouracil,Imiquimod,Aldara,Carac,Efudex,Collagenase Santyl",Keratosis pilaris,"['KP results in small', 'rough bumps on the surface of the skin. They are skin-colored bumps the size of a grain of sand', 'many of which are surrounded by a slight pink color in light-skinned people and dark spots in dark-skinned people. Most people with KP do not have symptoms', 'but the bumps in the skin can occasionally be itchy . Irritation due to scratching KP bumps can result in redness and inflammation .']",417,8,kp result small rough bump surface skin skincolored bump size grain sand many surrounded slight pink color lightskinned people dark spot darkskinned people people kp symptom bump skin occasionally itchy irritation due scratching kp bump result redness inflammation
Kidney Infections,"Ciprofloxacin,Levaquin,Cephalexin,Cipro,Sulfamethoxazole / trimethoprim,Levofloxacin,Rocephin,Keflex",Pyelonephritis,"Fever , flank tenderness , nausea , burning with urination , frequent urination",79,8,fever flank tenderness nausea burning urination frequent urination
Labor Induction,"Pitocin,Cervidil,Dinoprostone",Pregnancy,"Missed periods, tender breasts, nausea and vomiting , hunger, frequent urination",80,3,missed period tender breast nausea vomiting hunger frequent urination
Labor Pain,Stadol,Childbirth,"['The most prominent sign of labour is strong repetitive uterine contractions . Pain in contractions has been described as feeling similar to very strong menstrual cramps . Crowning may be experienced as an intense stretching and burning. The Lamaze method of childbirth teaches that making noises such as moaning', 'groaning', 'grunting', 'repeating words over and over', ""and any sound that one's body may wish to naturally make may help to relieve pain and help labour to progress. According to Lamaze"", '""While the media would have you believe that all birthing women scream', 'in reality', 'it\'s not the most common noise."" They say that screaming may be a sign that the labouring woman is beginning to panic and the support team should help her back to regulated breathing.']",782,1,prominent sign labour strong repetitive uterine contraction pain contraction described feeling similar strong menstrual cramp crowning may experienced intense stretching burning lamaze method childbirth teach making noise moaning groaning grunting repeating word sound one body may wish naturally make may help relieve pain help labour progress according lamaze medium would believe birthing woman scream reality common noise say screaming may sign labouring woman beginning panic support team help back regulated breathing
Lactation Augmentation,Reglan,Childbirth,"['The most prominent sign of labour is strong repetitive uterine contractions . Pain in contractions has been described as feeling similar to very strong menstrual cramps . Crowning may be experienced as an intense stretching and burning. The Lamaze method of childbirth teaches that making noises such as moaning', 'groaning', 'grunting', 'repeating words over and over', ""and any sound that one's body may wish to naturally make may help to relieve pain and help labour to progress. According to Lamaze"", '""While the media would have you believe that all birthing women scream', 'in reality', 'it\'s not the most common noise."" They say that screaming may be a sign that the labouring woman is beginning to panic and the support team should help her back to regulated breathing.']",782,1,prominent sign labour strong repetitive uterine contraction pain contraction described feeling similar strong menstrual cramp crowning may experienced intense stretching burning lamaze method childbirth teach making noise moaning groaning grunting repeating word sound one body may wish naturally make may help relieve pain help labour progress according lamaze medium would believe birthing woman scream reality common noise say screaming may sign labouring woman beginning panic support team help back regulated breathing
Lactose Intolerance,Lactaid Ultra,Lactose intolerance,"Abdominal pain, bloating , diarrhea , flatulence , nausea",57,1,abdominal pain bloating diarrhea flatulence nausea
Left Ventricular Dysfunction,"Carvedilol,Coreg,Diovan,Vasotec",Heart failure,"Shortness of breath , exhaustion , swollen legs",47,4,shortness breath exhaustion swollen leg
Lennox-Gastaut Syndrome,Banzel,Lennox–Gastaut syndrome,"['The symptoms vary and progress with age and are characterized by a triad of seizures including tonic seizure', 'cognitive dysfunction', 'and EEG findings. The triad may not fully emerge until 1–2 years after first seizure episode.']",234,1,symptom vary progress age characterized triad seizure including tonic seizure cognitive dysfunction eeg finding triad may fully emerge 1–2 year first seizure episode
Lichen Planus,"Triamcinolone,Clobetasol,Prednisone",Lichen planus,"['Although lichen planus can present with a variety of lesions', 'the most common presentation is as a well defined area of purple-coloured', 'itchy', 'flat-topped papules with interspersed lacy white lines (Wickham\'s striae). This description is known as the characteristic ""6 Ps"" of lichen planus: planar (flat-topped)', 'purple', 'polygonal', 'pruritic', 'papules', 'and plaques. This rash', 'after regressing', 'is likely to leave an area of hyperpigmentation that slowly fades. That said', 'a variety of other lesions can also occur.']",541,3,although lichen planus present variety lesion common presentation well defined area purplecoloured itchy flattopped papule interspersed lacy white line wickhams stria description known characteristic 6 p lichen planus planar flattopped purple polygonal pruritic papule plaque rash regressing likely leave area hyperpigmentation slowly fade said variety lesion also occur
Lichen Sclerosus,"Temovate,Clobetasol",Lichen sclerosus,"['LS can occur without symptoms. White patches on the LS body area', 'itching', 'pain', 'dyspareunia (in genital LS)', 'easier bruising', 'cracking', 'tearing and peeling', 'and hyperkeratosis are common symptoms in both men and women. In women', 'the condition most commonly occurs on the vulva and around the anus with ivory-white elevations that may be flat and glistening.']",378,2,l occur without symptom white patch l body area itching pain dyspareunia genital l easier bruising cracking tearing peeling hyperkeratosis common symptom men woman woman condition commonly occurs vulva around anus ivorywhite elevation may flat glistening
Light Anesthesia,"Valium,Ativan,Lorazepam,Versed,Diazepam",Anesthesia awareness,"['Intraoperative awareness can present with a variety of signs and symptoms. A large proportion of patients report vague', 'dreamlike experiences', 'while others report specific intraoperative events', 'such as:']",213,5,intraoperative awareness present variety sign symptom large proportion patient report vague dreamlike experience others report specific intraoperative event
Light Sedation,"Thorazine,Diazepam,Seconal,Meperidine,Valium,Promethazine,Midazolam,Demerol,Versed",,nan,3,9,nan
Lipodystrophy,"Egrifta,Tesamorelin",Congenital generalized lipodystrophy,"Mild specific body features, absence of subcutaneous fat , muscle hypertrophy , insulin resistance , gigantism / acromegaly , large appetite",140,2,mild specific body feature absence subcutaneous fat muscle hypertrophy insulin resistance gigantism acromegaly large appetite
Liver Magnetic Resonance Imaging,Gadoxetate disodium,,nan,3,1,nan
Local Anesthesia,"Lidocaine,Solarcaine Burn Relief,Bupivacaine",Hernia,"Pain especially with coughing, bulging area",43,3,pain especially coughing bulging area
Lyme Disease,"Doxycycline,Doxy 100,Cefuroxime",Lyme disease,"Expanding area of redness at the site of a tick bite, fever , headache , tiredness",82,3,expanding area redness site tick bite fever headache tiredness
"Lyme Disease, Erythema Chronicum Migrans",Azithromycin,Lyme disease,"Expanding area of redness at the site of a tick bite, fever , headache , tiredness",82,1,expanding area redness site tick bite fever headache tiredness
"Lyme Disease, Neurologic","Ceftriaxone,Penicillin g benzathine,Bicillin L-A,Doxycycline",Lyme disease,"Expanding area of redness at the site of a tick bite, fever , headache , tiredness",82,4,expanding area redness site tick bite fever headache tiredness
Lymphocytic Colitis,"Mesalamine,Asacol",Microscopic colitis,Persistent diarrhea,19,2,persistent diarrhea
Lymphoma,Prednisone,Lymphoma,"Enlarged lymph nodes , fever , sweats , unintended weight loss, itching , feeling tired",87,1,enlarged lymph node fever sweat unintended weight loss itching feeling tired
Macular Degeneration,"Ranibizumab,Lucentis,Aflibercept,Eylea,Pegaptanib",Macular degeneration,Blurred or no vision in the center of the visual field,54,5,blurred vision center visual field
Macular Edema,"Ranibizumab,Lucentis",Diabetic retinopathy,"Often asymptomatic, but can cause spots in the eye and vision loss.",67,2,often asymptomatic cause spot eye vision loss
Major Depressive Disorde,"Wellbutrin,Sertraline,Fluoxetine,Zoloft,Remeron,Venlafaxine,Wellbutrin XL,Desvenlafaxine,Vortioxetine,Seroquel XR,Vilazodone,Effexor XR,Trazodone,Prozac,Trintellix,Bupropion,Cymbalta,Duloxetine,Quetiapine,Olanzapine,Aripiprazole,Effexor,Mirtazapine,Levomilnacipran,Fetzima,Escitalopram,Abilify,Viibryd,Lexapro,Rexulti,Brexpiprazole,Wellbutrin SR,Oleptro,Paroxetine,Pristiq,Emsam,Paxil,Selegiline,Nefazodone,Symbyax,Budeprion SR,Sinequan,Zyprexa",,nan,3,43,nan
Malaria,"Doxycycline,Halofantrine,Coartem,Atovaquone,Halfan",Malaria,"Fever, vomiting, headache, yellow skin",38,5,fever vomiting headache yellow skin
Malaria Prevention,"Atovaquone / proguanil,Malarone,Mefloquine,Doxycycline",Malaria,"Fever, vomiting, headache, yellow skin",38,4,fever vomiting headache yellow skin
Mania,"Divalproex sodium,Risperidone,Chlorpromazine,Depakote,Lithium,Valproic acid,Risperdal",Mania,"['A manic episode is defined in the American Psychiatric Association \'s diagnostic manual as a ""distinct period of abnormally and persistently elevated', 'expansive', 'or irritable mood and abnormally and persistently increased activity or energy', 'lasting at least 1 week and present most of the day', 'nearly every day (or any duration', 'if hospitalization is necessary),"" where the mood is not caused by drugs/medication or a non-mental medical illness (e.g.', 'hyperthyroidism )', 'and: (a) is causing obvious difficulties at work or in social relationships and activities', 'or (b) requires admission to hospital to protect the person or others', 'or (c) the person has psychosis .']",691,7,manic episode defined american psychiatric association diagnostic manual distinct period abnormally persistently elevated expansive irritable mood abnormally persistently increased activity energy lasting least 1 week present day nearly every day duration hospitalization necessary mood caused drugsmedication nonmental medical illness eg hyperthyroidism causing obvious difficulty work social relationship activity b requires admission hospital protect person others c person psychosis
Mantle Cell Lymphoma,"Ibrutinib,Imbruvica",Mantle cell lymphoma,"['People with mantle cell lymphoma typically present with symptoms later in life', ""with a median age of onset between 60 and 70 years of age. In Western countries MCL accounts for around 7% of adult non-Hodgkin's lymphomas"", 'with between 4 and 8 per cases per million diagnosed each year. The incidence of MCL increases with age. In the United States', 'the median age for its diagnosis is 68 years. Three-quarters of patients are men. In addition', 'patients are more likely to be Caucasian.']",496,2,people mantle cell lymphoma typically present symptom later life median age onset 60 70 year age western country mcl account around 7 adult nonhodgkins lymphoma 4 8 per case per million diagnosed year incidence mcl increase age united state median age diagnosis 68 year threequarters patient men addition patient likely caucasian
Melanoma,Nivolumab,Melanoma,"Mole that is increasing in size, has irregular edges, change in color, itchiness, or skin breakdown .",101,1,mole increasing size irregular edge change color itchiness skin breakdown
"Melanoma, Metastatic",Keytruda,Melanoma,"Mole that is increasing in size, has irregular edges, change in color, itchiness, or skin breakdown .",101,1,mole increasing size irregular edge change color itchiness skin breakdown
Melasma,"Tri-Luma,Fluocinolone / hydroquinone / tretinoin",Melasma,"['The symptoms of melasma are dark', 'irregular', 'well-demarcated', 'hyperpigmented macules to patches. These patches often develop gradually over time. Melasma does not cause any other symptoms beyond the cosmetic discoloration. Patches can vary in size from 0.5 cm to larger than 10 cm depending on the person. Its location can be categorized as centrofacial', 'malar', 'or mandibular. The most common is centrofacial', 'in which patches appear on the cheeks', 'nose', 'upper lip', 'forehead', 'and chin. The mandibular category accounts for patches on the bilateral rami', 'while the malar location accounts for patches only on the nose and cheeks.']",654,2,symptom melasma dark irregular welldemarcated hyperpigmented macule patch patch often develop gradually time melasma cause symptom beyond cosmetic discoloration patch vary size 05 cm larger 10 cm depending person location categorized centrofacial malar mandibular common centrofacial patch appear cheek nose upper lip forehead chin mandibular category account patch bilateral ramus malar location account patch nose cheek
Meniere's Disease,"Diazepam,Valium",Ménière's disease,"Feeling like the world is spinning , ringing in the ears , hearing loss , fullness in the ear",93,2,feeling like world spinning ringing ear hearing loss fullness ear
Menopausal Disorders,"Esterified estrogens / methyltestosterone,Estratest H.S.",Menopause,No menstrual periods for a year,31,2,menstrual period year
Menorrhagia,"Tranexamic acid,Natazia,Lysteda,Dienogest / estradiol",Heavy menstrual bleeding,bleeding more than usual,24,4,bleeding usual
Menstrual Disorders,"Yaz,Lysteda,Tranexamic acid,Drospirenone / ethinyl estradiol,femhrt,Ethinyl estradiol / norethindrone,Gianvi,Loestrin 24 Fe,Microgestin Fe 1 / 20,Loestrin 21 1 / 20,Gildess Fe 1 / 20,Yasmin,Ocella,Microgestin Fe 1.5 / 30,Loryna",Heavy menstrual bleeding,bleeding more than usual,24,15,bleeding usual
Methicillin-Resistant Staphylococcus Aureus Infection,"Linezolid,Zyvox,Vancomycin",Methicillin-resistant Staphylococcus aureus,"['In humans', 'Staphylococcus aureus is part of the normal microbiota present in the upper respiratory tract', 'and on skin and in the gut mucosa. However', 'along with similar bacterial species that can colonize and act symbiotically', 'they can cause disease if they begin to take over the tissues they have colonized or invade other tissues; the resultant infection has been called a ""pathobiont"".']",402,3,human staphylococcus aureus part normal microbiota present upper respiratory tract skin gut mucosa however along similar bacterial specie colonize act symbiotically cause disease begin take tissue colonized invade tissue resultant infection called pathobiont
Migraine,"Rizatriptan,Eletriptan,Relpax,Amerge,Sumatriptan,Cambia,Reglan,Gabapentin,Metoclopramide,Diclofenac,Acetaminophen / aspirin / caffeine,Naproxen / sumatriptan,Methylergonovine,Fiorinal,Maxalt-MLT,Zomig-ZMT,Frova,Almotriptan,Imitrex,Dihydroergotamine,Cyproheptadine,Aspirin / butalbital / caffeine,Zomig,Treximet,Cafergot,Frovatriptan,Maxalt,Migranal,Cyclobenzaprine,Goody's Extra-Strength Headache Powders,Zolmitriptan,Naratriptan,Imitrex Nasal,Botox,Imitrex Statdose,Flexeril,D.H.E. 45,Sumavel DosePro,Methergine,Orphenadrine,Neurontin,Excedrin,Axert,Amrix,Caffeine / ergotamine,Migergot,Acetaminophen / aspirin / caffeine / salicylamide,OnabotulinumtoxinA,Zecuity",Migraine,"Headaches , nausea , sensitivity to light , sound , and smell",61,49,headache nausea sensitivity light sound smell
Migraine Prevention,"Amitriptyline,Inderal,Riboflavin,Topiramate,Topamax,Pamelor,Depakote ER,Propranolol,Zonisamide,Nortriptyline,Baclofen,Botox,Divalproex sodium,Lamotrigine,OnabotulinumtoxinA,Lisinopril,Metoprolol,Amlodipine,Nadolol,Clonazepam,Bupropion,Verapamil,Depakote,Atenolol,Elavil,Catapres,Norvasc,Candesartan,Lyrica,Inderal LA,Pregabalin,Vitamin B2,Olmesartan,Tenormin,Zonegran",Migraine,"Headaches , nausea , sensitivity to light , sound , and smell",61,35,headache nausea sensitivity light sound smell
Mild Cognitive Impairment,Donepezil,Mild cognitive impairment,"Can include memory impairments (amnestic) or cognitive problems like impaired decision making, language, or visuospatial skills (non-amnestic)",142,1,include memory impairment amnestic cognitive problem like impaired decision making language visuospatial skill nonamnestic
Mitral Valve Prolapse,"Toprol-XL,Atenolol,Inderal LA,Propranolol,Nebivolol,Bystolic,Metoprolol",Mitral valve prolapse,"Palpitations , atypical precordial pain, dyspnea on exertion, low BMI , electrocardiogram abnormalities ( ventricular tachycardia ), syncope , low blood pressure , headaches, lightheadedness, other signs suggestive of autonomic nervous system dysfunction ( dysautonomia )",271,7,palpitation atypical precordial pain dyspnea exertion low bmi electrocardiogram abnormality ventricular tachycardia syncope low blood pressure headache lightheadedness sign suggestive autonomic nervous system dysfunction dysautonomia
Mixed Connective Tissue Disease,Prednisone,Mixed connective tissue disease,"['MCTD combines features of scleroderma ', 'polymyositis ', 'systemic lupus erythematosus ', 'and rheumatoid arthritis (with some sources adding myositis ', 'dermatomyositis ', 'and inclusion body myositis ) and is thus considered an overlap syndrome .']",254,1,mctd combine feature scleroderma polymyositis systemic lupus erythematosus rheumatoid arthritis source adding myositis dermatomyositis inclusion body myositis thus considered overlap syndrome
Mononucleosis,Acyclovir,Infectious mononucleosis,"Fever , sore throat, enlarged lymph nodes in the neck, fatigue",62,1,fever sore throat enlarged lymph node neck fatigue
Motion Sickness,"Marezine,Scopolamine,Dimenhydrinate,Bonine,Transderm-Scop,Meclizine,Dramamine,Phenergan,Cyclizine",Motion sickness,"Nausea , vomiting , cold sweat, increased salivation",52,9,nausea vomiting cold sweat increased salivation
Mountain Sickness / Altitude Sickness,"Diamox,Acetazolamide",Decompression sickness,"['While bubbles can form anywhere in the body', 'DCS is most frequently observed in the shoulders', 'elbows', 'knees', 'and ankles. Joint pain (""the bends"") accounts for about 60% to 70% of all altitude DCS cases', 'with the shoulder being the most common site for altitude and bounce diving', 'and the knees and hip joints for saturation and compressed air work. Neurological symptoms are present in 10% to 15% of DCS cases with headache and visual disturbances being the most common symptom. Skin manifestations are present in about 10% to 15% of cases. Pulmonary DCS (""the chokes"") is very rare in divers and has been observed much less frequently in aviators since the introduction of oxygen pre-breathing protocols. The table below shows symptoms for different DCS types.']",778,2,bubble form anywhere body dc frequently observed shoulder elbow knee ankle joint pain bend account 60 70 altitude dc case shoulder common site altitude bounce diving knee hip joint saturation compressed air work neurological symptom present 10 15 dc case headache visual disturbance common symptom skin manifestation present 10 15 case pulmonary dc choke rare diver observed much le frequently aviator since introduction oxygen prebreathing protocol table show symptom different dc type
Mucositis,"Chlorhexidine,NeutraSal,Periogard,Saliva substitutes",Mucositis,Red burn-like sores or ulcers throughout the mouth,50,4,red burnlike sore ulcer throughout mouth
Multiple Myeloma,Lenalidomide,Multiple myeloma,"Bone pain , fatigue : 653",25,1,bone pain fatigue 653
Multiple Sclerosis,"Dalfampridine,Avonex Pen,Copaxone,Glatiramer,Tecfidera,Teriflunomide,Natalizumab,Avonex,Interferon beta-1a,Tysabri,Fingolimod,Gilenya,Interferon beta-1b,Dimethyl fumarate,Cyclophosphamide,Ampyra,Betaseron,Lemtrada,Rebif,Aubagio,Rebif Rebidose,Provigil,Modafinil,Mycophenolate mofetil,Novantrone,Plegridy",Multiple sclerosis,"Variable, including almost any neurological symptom or sign, with autonomic , visual, motor, and sensory problems being the most common.",136,26,variable including almost neurological symptom sign autonomic visual motor sensory problem common
Muscle Pain,"Aspirin / carisoprodol,Medrox,Ibuprofen,Methyl salicylate,Diclofenac,Aleve,Lidocaine / menthol,Naproxen,Acetaminophen,Acetaminophen / caffeine / magnesium salicylate,Voltaren,Naprelan,Salonpas Pain Patch,Capsaicin / menthol / methyl salicylate,Aspirin / caffeine / orphenadrine,KneeRelief,Advil,Norgesic",Delayed onset muscle soreness,"['The soreness is perceived as a dull', 'aching pain in the affected muscle', 'often combined with tenderness and stiffness. The pain is typically felt only when the muscle is stretched', 'contracted or put under pressure', 'not when it is at rest. : 63 This tenderness', 'a characteristic symptom of DOMS', 'is also referred to as ""muscular mechanical hyperalgesia "".']",370,18,soreness perceived dull aching pain affected muscle often combined tenderness stiffness pain typically felt muscle stretched contracted put pressure rest 63 tenderness characteristic symptom doms also referred muscular mechanical hyperalgesia
Muscle Spasm,"Cyclobenzaprine,Orphenadrine,Tizanidine,Soma,Valium,Metaxalone,Diazepam,Carisoprodol,Baclofen,Chlorzoxazone,Methocarbamol,Flexeril,Skelaxin,Lorzone,Zanaflex,Robaxin,Soma Compound,Robaxin-750,Aspirin / carisoprodol,Norflex,Diazepam Intensol,Lioresal,Amrix,Parafon Forte DSC,Aspirin / caffeine / orphenadrine,Soma Compound with Codeine,Aspirin / carisoprodol / codeine",Tetanus,"fever , cramped-up jaw, muscle spasms , headache , seizures , sweating, and trouble swallowing",94,27,fever crampedup jaw muscle spasm headache seizure sweating trouble swallowing
Myasthenia Gravis,"Pyridostigmine,Imuran,Mestinon,Mycophenolate mofetil,Prostigmin Bromide,CellCept",Myasthenia gravis,"Varying degrees muscle weakness , double vision , drooping eyelids , trouble talking, trouble walking",101,6,varying degree muscle weakness double vision drooping eyelid trouble talking trouble walking
"Mycobacterium avium-intracellulare, Treatment",Zithromax,Mycobacterium avium-intracellulare infection,"['Pulmonary involvement symptoms are similar to tuberculosis (TB)', 'and include fever', 'fatigue', 'weight loss', 'and coughing up blood. Diarrhea and abdominal pain are associated with gastrointestinal involvement.']",218,1,pulmonary involvement symptom similar tuberculosis tb include fever fatigue weight loss coughing blood diarrhea abdominal pain associated gastrointestinal involvement
